Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Purpose,Loan_Application_Date,Approval_Date,Loan_Amount,Loan_Amount_Category,Interest_Rate,Loan_Tenure_Months,Monthly_Installment,Loan_Status,Loan_Approval_Flag,Risk_Category,Default_Probability,Default_Flag,Outstanding_Debt,Debt_to_Income_Ratio,Debt_to_Income_Category,Estimated_Annual_Interest
LN-102951,CUST-12951,BR-003,Auto Loan,New Vehicle,2023-04-17,2023-04-26,34400.0,Medium ($25k-$75k),8.31,48,844.82,Approved,1,Low Risk,0.0449,0,41911.56,0.4077,Manageable (36-49%),2858.64
LN-103482,CUST-13482,BR-013,Personal Loan,Debt Consolidation,2024-03-01,2024-03-09,12500.0,Small ($10k-$25k),13.67,24,598.21,Approved,1,Medium Risk,0.0981,0,14052.96,0.3253,Moderate (20-35%),1708.75
LN-117711,CUST-27711,BR-002,Home Loan,Home Purchase,2023-02-16,,550000.0,Jumbo (>=$200k),5.54,360,3136.66,Rejected,0,Low Risk,0.008,0,45196.76,0.3556,Manageable (36-49%),30470.0
LN-107772,CUST-17772,BR-001,Home Loan,Home Purchase,2021-08-03,,82300.0,Large ($75k-$200k),7.46,240,660.99,Rejected,0,Low Risk,0.0458,0,7550.9,0.3283,Moderate (20-35%),6139.58
LN-111998,CUST-21998,BR-006,Home Loan,Refinance,2024-02-19,2024-02-27,498200.0,Jumbo (>=$200k),5.13,240,3323.78,Approved,1,Low Risk,0.008,0,39676.84,0.2806,Moderate (20-35%),25557.66
LN-114203,CUST-24203,BR-013,Education Loan,Undergraduate Studies,2021-10-26,2021-11-09,58100.0,Medium ($25k-$75k),5.83,84,844.03,Approved,1,Low Risk,0.008,0,21743.52,0.2328,Moderate (20-35%),3387.23
LN-100539,CUST-10539,BR-012,Auto Loan,New Vehicle,2022-12-16,2022-12-26,66300.0,Medium ($25k-$75k),5.39,48,1538.58,Approved,1,Low Risk,0.008,0,42480.72,0.3324,Moderate (20-35%),3573.57
LN-119663,CUST-29663,BR-010,Home Loan,Home Purchase,2023-01-04,,251300.0,Jumbo (>=$200k),6.38,180,2172.55,Rejected,0,Low Risk,0.0187,0,18327.21,0.2607,Moderate (20-35%),16032.94
LN-105690,CUST-15690,BR-002,Home Loan,Home Purchase,2022-08-23,,71600.0,Medium ($25k-$75k),7.08,360,480.21,Rejected,0,Low Risk,0.0316,0,9600.36,0.4156,Manageable (36-49%),5069.28
LN-110679,CUST-20679,BR-009,Business Loan,Working Capital,2023-10-24,,145800.0,Large ($75k-$200k),7.22,36,4516.56,Pending,0,Low Risk,0.008,0,34710.6,0.2091,Moderate (20-35%),10526.76
LN-113212,CUST-23212,BR-010,Home Loan,Home Purchase,2021-09-25,2021-09-29,441900.0,Jumbo (>=$200k),6.57,180,3866.45,Approved,1,Low Risk,0.0127,0,35446.02,0.3009,Moderate (20-35%),29032.83
LN-108405,CUST-18405,BR-005,Auto Loan,Used Vehicle,2023-05-03,2023-05-14,71800.0,Medium ($25k-$75k),5.63,60,1375.78,Approved,1,Low Risk,0.008,0,12099.41,0.0691,Low (<20%),4042.34
LN-104743,CUST-14743,BR-007,Home Loan,Refinance,2022-06-04,2022-06-07,480500.0,Jumbo (>=$200k),4.82,180,3754.86,Approved,1,Low Risk,0.008,0,29627.92,0.2216,Moderate (20-35%),23160.1
LN-109052,CUST-19052,BR-009,Auto Loan,Refinance Auto,2022-12-12,2022-12-20,23400.0,Small ($10k-$25k),7.71,60,471.23,Approved,1,Low Risk,0.0181,0,31659.73,0.4117,Manageable (36-49%),1804.14
LN-113421,CUST-23421,BR-006,Personal Loan,Home Renovation,2021-04-20,2021-04-25,15700.0,Small ($10k-$25k),10.2,24,725.93,Approved,1,Low Risk,0.008,0,20334.4,0.2272,Moderate (20-35%),1601.4
LN-102688,CUST-12688,BR-010,Auto Loan,New Vehicle,2021-03-25,,16500.0,Small ($10k-$25k),9.2,60,344.12,Rejected,0,Medium Risk,0.1151,0,19045.7,0.5218,Critical (>=50%),1518.0
LN-109799,CUST-19799,BR-007,Personal Loan,Medical Expenses,2023-04-16,,9200.0,Micro (<$10k),15.14,36,319.55,Rejected,0,Very High Risk,0.6214,0,21999.98,0.4814,Manageable (36-49%),1392.88
LN-101078,CUST-11078,BR-005,Auto Loan,Used Vehicle,2021-01-11,2021-01-16,45900.0,Medium ($25k-$75k),5.49,60,876.53,Approved,1,Low Risk,0.008,0,23056.56,0.2232,Moderate (20-35%),2519.91
LN-111228,CUST-21228,BR-012,Education Loan,Undergraduate Studies,2024-05-21,2024-05-30,76900.0,Large ($75k-$200k),4.7,84,1076.09,Approved,1,Low Risk,0.008,0,35782.56,0.2376,Moderate (20-35%),3614.3
LN-100352,CUST-10352,BR-002,Auto Loan,Used Vehicle,2024-05-13,2024-05-19,22600.0,Small ($10k-$25k),5.41,72,368.29,Approved,1,Low Risk,0.008,0,6137.5,0.125,Low (<20%),1222.66
LN-118492,CUST-28492,BR-014,Auto Loan,Used Vehicle,2024-04-20,,15900.0,Small ($10k-$25k),7.95,72,278.39,Pending,0,Low Risk,0.0313,0,18452.28,0.3994,Manageable (36-49%),1264.05
LN-106138,CUST-16138,BR-001,Personal Loan,Medical Expenses,2023-07-29,2023-08-07,27100.0,Medium ($25k-$75k),11.93,24,1274.81,Approved,1,Low Risk,0.0391,0,48149.2,0.2728,Moderate (20-35%),3233.03
LN-112291,CUST-22291,BR-011,Auto Loan,Used Vehicle,2021-12-31,,20400.0,Small ($10k-$25k),9.64,60,429.84,Rejected,0,High Risk,0.1512,0,43511.64,0.5107,Critical (>=50%),1966.56
LN-117253,CUST-27253,BR-008,Home Loan,Home Purchase,2021-02-08,2021-02-19,377200.0,Jumbo (>=$200k),6.03,240,2708.91,Approved,1,Low Risk,0.0102,0,27190.52,0.2527,Moderate (20-35%),22745.16
LN-107713,CUST-17713,BR-002,Auto Loan,New Vehicle,2021-01-14,2021-01-27,41000.0,Medium ($25k-$75k),8.1,36,1286.68,Approved,1,Low Risk,0.0188,0,39345.18,0.4073,Manageable (36-49%),3321.0
LN-117084,CUST-27084,BR-006,Personal Loan,Major Purchase,2024-04-10,,10800.0,Small ($10k-$25k),10.33,24,500.01,Rejected,0,Low Risk,0.0088,0,6464.88,0.1107,Low (<20%),1115.64
LN-111342,CUST-21342,BR-008,Auto Loan,New Vehicle,2022-04-16,2022-04-25,33200.0,Medium ($25k-$75k),5.74,72,546.15,Approved,1,Low Risk,0.008,0,7578.26,0.1054,Low (<20%),1905.68
LN-103278,CUST-13278,BR-004,Personal Loan,Debt Consolidation,2022-08-25,2022-09-04,8600.0,Micro (<$10k),11.06,24,401.07,Approved,1,Low Risk,0.0141,0,13314.0,0.317,Moderate (20-35%),951.16
LN-101633,CUST-11633,BR-002,Personal Loan,Home Renovation,2024-01-22,2024-02-03,20700.0,Small ($10k-$25k),13.38,12,1852.56,Approved,1,Medium Risk,0.1424,1,31273.52,0.3506,Manageable (36-49%),2769.66
LN-112055,CUST-22055,BR-004,Personal Loan,Wedding,2021-05-28,2021-06-11,4300.0,Micro (<$10k),10.13,60,91.64,Approved,1,Low Risk,0.008,0,1345.05,0.0549,Low (<20%),435.59
LN-113982,CUST-23982,BR-005,Auto Loan,Refinance Auto,2021-05-27,,4300.0,Micro (<$10k),5.84,72,70.94,Rejected,0,Low Risk,0.008,0,2883.6,0.1602,Low (<20%),251.12
LN-100386,CUST-10386,BR-001,Home Loan,Home Purchase,2023-09-15,,477200.0,Jumbo (>=$200k),4.16,360,2322.46,Rejected,0,Low Risk,0.008,0,20503.68,0.1416,Low (<20%),19851.52
LN-111283,CUST-21283,BR-015,Education Loan,Undergraduate Studies,2024-04-29,2024-05-13,58600.0,Medium ($25k-$75k),7.16,120,685.24,Approved,1,Low Risk,0.0447,0,37534.78,0.3761,Manageable (36-49%),4195.76
LN-107984,CUST-17984,BR-010,Auto Loan,New Vehicle,2021-04-27,2021-05-01,11400.0,Small ($10k-$25k),5.93,72,188.55,Approved,1,Low Risk,0.008,0,2585.4,0.0834,Low (<20%),676.02
LN-105199,CUST-15199,BR-014,Home Loan,Home Improvement,2021-01-10,,155900.0,Large ($75k-$200k),3.53,360,702.67,Pending,0,Low Risk,0.008,0,3253.84,0.0914,Low (<20%),5503.27
LN-113737,CUST-23737,BR-013,Auto Loan,Used Vehicle,2023-06-13,2023-06-17,23300.0,Small ($10k-$25k),6.84,48,556.22,Approved,1,Low Risk,0.0128,0,19508.37,0.3381,Moderate (20-35%),1593.72
LN-110828,CUST-20828,BR-015,Personal Loan,Debt Consolidation,2023-01-18,2023-01-25,8600.0,Micro (<$10k),8.33,48,211.29,Approved,1,Low Risk,0.008,0,7179.5,0.083,Low (<20%),716.38
LN-106408,CUST-16408,BR-008,Personal Loan,Medical Expenses,2023-06-21,2023-06-25,21500.0,Small ($10k-$25k),12.74,36,721.73,Approved,1,Medium Risk,0.0704,0,19317.77,0.2297,Moderate (20-35%),2739.1
LN-101625,CUST-11625,BR-009,Home Loan,Refinance,2021-03-23,2021-03-29,550000.0,Jumbo (>=$200k),5.98,180,4635.27,Approved,1,Low Risk,0.008,0,29162.16,0.2348,Moderate (20-35%),32890.0
LN-116374,CUST-26374,BR-004,Home Loan,Home Purchase,2023-08-27,,550000.0,Jumbo (>=$200k),6.54,360,3490.86,Pending,0,Low Risk,0.0104,0,28588.56,0.2002,Moderate (20-35%),35970.0
LN-109086,CUST-19086,BR-007,Home Loan,Home Purchase,2023-02-14,2023-02-27,380800.0,Jumbo (>=$200k),3.49,180,2720.4,Approved,1,Low Risk,0.008,0,14384.7,0.1453,Low (<20%),13289.92
LN-105643,CUST-15643,BR-002,Education Loan,Undergraduate Studies,2022-08-15,2022-08-27,69300.0,Medium ($25k-$75k),7.44,60,1386.65,Approved,1,Medium Risk,0.0749,0,34866.72,0.3459,Moderate (20-35%),5155.92
LN-113291,CUST-23291,BR-006,Personal Loan,Home Renovation,2023-01-01,,7000.0,Micro (<$10k),14.9,60,166.16,Rejected,0,High Risk,0.2999,0,13280.4,0.527,Critical (>=50%),1043.0
LN-102958,CUST-12958,BR-007,Home Loan,Home Improvement,2021-11-25,,223900.0,Jumbo (>=$200k),7.97,360,1638.22,Rejected,0,Low Risk,0.046,0,28052.26,0.3907,Manageable (36-49%),17844.83
LN-113413,CUST-23413,BR-003,Personal Loan,Home Renovation,2023-12-20,2024-01-01,9200.0,Micro (<$10k),11.62,48,240.56,Approved,1,Low Risk,0.02,0,13746.74,0.2086,Moderate (20-35%),1069.04
LN-109223,CUST-19223,BR-007,Auto Loan,Used Vehicle,2021-09-01,,10200.0,Small ($10k-$25k),7.36,36,316.63,Rejected,0,Low Risk,0.0135,0,7755.58,0.3574,Manageable (36-49%),750.72
LN-105806,CUST-15806,BR-001,Personal Loan,Medical Expenses,2023-02-23,2023-03-07,9700.0,Micro (<$10k),11.89,36,321.67,Approved,1,Low Risk,0.0272,0,8994.43,0.2243,Moderate (20-35%),1153.33
LN-109882,CUST-19882,BR-010,Auto Loan,New Vehicle,2021-01-19,2021-01-23,33400.0,Medium ($25k-$75k),6.83,48,797.17,Approved,1,Low Risk,0.012,0,19182.02,0.2717,Moderate (20-35%),2281.22
LN-104050,CUST-14050,BR-006,Home Loan,Refinance,2021-10-18,2021-10-21,118200.0,Large ($75k-$200k),6.4,360,739.35,Approved,1,Low Risk,0.0164,0,9179.7,0.2481,Moderate (20-35%),7564.8
LN-102154,CUST-12154,BR-011,Home Loan,Home Purchase,2021-01-20,,153600.0,Large ($75k-$200k),5.2,180,1230.72,Rejected,0,Low Risk,0.008,0,7546.18,0.2102,Moderate (20-35%),7987.2
LN-111900,CUST-21900,BR-008,Personal Loan,Debt Consolidation,2023-12-15,2023-12-26,23500.0,Small ($10k-$25k),11.07,24,1096.05,Approved,1,Low Risk,0.0287,0,37023.64,0.3242,Moderate (20-35%),2601.45
LN-105818,CUST-15818,BR-008,Auto Loan,Used Vehicle,2021-07-14,,28600.0,Medium ($25k-$75k),8.04,48,698.75,Rejected,0,Low Risk,0.0256,0,27785.7,0.251,Moderate (20-35%),2299.44
LN-115732,CUST-25732,BR-007,Home Loan,Home Purchase,2023-08-30,,223100.0,Jumbo (>=$200k),7.96,240,1860.55,Rejected,0,Medium Risk,0.0729,0,47120.04,0.5379,Critical (>=50%),17758.76
LN-117761,CUST-27761,BR-004,Auto Loan,Refinance Auto,2024-04-24,2024-05-04,13200.0,Small ($10k-$25k),6.29,48,311.76,Approved,1,Low Risk,0.008,0,7313.0,0.2575,Moderate (20-35%),830.28
LN-103129,CUST-13129,BR-013,Auto Loan,Used Vehicle,2023-03-01,2023-03-08,68700.0,Medium ($25k-$75k),4.46,60,1279.53,Approved,1,Low Risk,0.008,0,30404.84,0.2074,Moderate (20-35%),3064.02
LN-105469,CUST-15469,BR-001,Education Loan,Undergraduate Studies,2022-11-18,2022-11-24,51700.0,Medium ($25k-$75k),6.27,120,581.01,Approved,1,Low Risk,0.0123,0,32582.64,0.2792,Moderate (20-35%),3241.59
LN-119203,CUST-29203,BR-013,Auto Loan,New Vehicle,2021-07-23,2021-07-27,57900.0,Medium ($25k-$75k),5.27,60,1099.82,Approved,1,Low Risk,0.008,0,29497.5,0.207,Moderate (20-35%),3051.33
LN-110883,CUST-20883,BR-013,Home Loan,Home Purchase,2022-02-13,2022-02-17,324200.0,Jumbo (>=$200k),3.6,180,2333.6,Approved,1,Low Risk,0.008,0,16924.16,0.2404,Moderate (20-35%),11671.2
LN-109995,CUST-19995,BR-005,Home Loan,Refinance,2023-03-12,2023-03-16,496900.0,Jumbo (>=$200k),5.6,360,2852.6,Approved,1,Low Risk,0.0103,0,37665.6,0.3304,Moderate (20-35%),27826.4
LN-115165,CUST-25165,BR-009,Personal Loan,Major Purchase,2024-03-17,2024-03-23,8800.0,Micro (<$10k),13.06,36,296.76,Approved,1,Medium Risk,0.109,0,20887.43,0.4289,Manageable (36-49%),1149.28
LN-119581,CUST-29581,BR-011,Home Loan,Refinance,2022-09-03,2022-09-14,550000.0,Jumbo (>=$200k),4.67,240,3530.24,Approved,1,Low Risk,0.008,0,18760.14,0.1323,Low (<20%),25685.0
LN-119763,CUST-29763,BR-008,Auto Loan,New Vehicle,2023-05-10,2023-05-23,16900.0,Small ($10k-$25k),7.17,60,336.0,Approved,1,Low Risk,0.0234,0,17276.38,0.2662,Moderate (20-35%),1211.73
LN-119830,CUST-29830,BR-013,Auto Loan,Used Vehicle,2021-06-02,2021-06-08,31800.0,Medium ($25k-$75k),7.44,48,768.0,Approved,1,Low Risk,0.0164,0,37689.12,0.3739,Manageable (36-49%),2365.92
LN-111188,CUST-21188,BR-007,Auto Loan,New Vehicle,2024-02-11,2024-02-20,22500.0,Small ($10k-$25k),8.14,60,457.73,Approved,1,Low Risk,0.025,0,8626.5,0.2025,Moderate (20-35%),1831.5
LN-115351,CUST-25351,BR-013,Education Loan,Undergraduate Studies,2022-08-19,2022-08-31,28200.0,Medium ($25k-$75k),4.29,84,389.24,Approved,1,Low Risk,0.008,0,3117.42,0.0753,Low (<20%),1209.78
LN-102118,CUST-12118,BR-001,Home Loan,Home Purchase,2022-11-22,,98200.0,Large ($75k-$200k),7.95,360,717.14,Rejected,0,Medium Risk,0.0685,0,14645.0,0.505,Critical (>=50%),7806.9
LN-104059,CUST-14059,BR-001,Home Loan,Home Improvement,2021-03-19,,277200.0,Jumbo (>=$200k),7.55,360,1947.72,Rejected,0,Medium Risk,0.0636,0,29981.16,0.4972,Manageable (36-49%),20928.6
LN-108899,CUST-18899,BR-005,Personal Loan,Home Renovation,2021-01-02,2021-01-08,16800.0,Small ($10k-$25k),9.81,24,773.76,Approved,1,Low Risk,0.008,0,9297.39,0.1437,Low (<20%),1648.08
LN-119143,CUST-29143,BR-015,Home Loan,Home Purchase,2022-12-06,2022-12-20,550000.0,Jumbo (>=$200k),3.67,180,3977.93,Approved,1,Low Risk,0.008,0,19167.77,0.1277,Low (<20%),20185.0
LN-109935,CUST-19935,BR-004,Business Loan,Business Expansion,2021-01-01,2021-01-05,56100.0,Medium ($25k-$75k),9.26,24,2569.61,Approved,1,Low Risk,0.0358,0,15972.35,0.1955,Low (<20%),5194.86
LN-116996,CUST-26996,BR-011,Home Loan,Home Purchase,2022-11-21,2022-12-04,550000.0,Jumbo (>=$200k),5.16,360,3006.53,Approved,1,Low Risk,0.008,0,33885.84,0.2168,Moderate (20-35%),28380.0
LN-109130,CUST-19130,BR-001,Home Loan,Home Purchase,2021-06-04,2021-06-11,343400.0,Jumbo (>=$200k),5.13,360,1870.82,Approved,1,Low Risk,0.008,0,15687.28,0.1799,Low (<20%),17616.42
LN-108514,CUST-18514,BR-009,Home Loan,Refinance,2022-02-25,,85600.0,Large ($75k-$200k),5.98,360,512.12,Rejected,0,Low Risk,0.0175,0,12084.72,0.4684,Manageable (36-49%),5118.88
LN-114779,CUST-24779,BR-004,Personal Loan,Home Renovation,2023-12-07,2023-12-21,3100.0,Micro (<$10k),11.94,36,102.88,Approved,1,Low Risk,0.0245,0,6272.81,0.1777,Low (<20%),370.14
LN-104352,CUST-14352,BR-001,Personal Loan,Major Purchase,2021-11-30,2021-12-10,9100.0,Micro (<$10k),12.02,48,239.73,Approved,1,Low Risk,0.0397,0,13643.52,0.2244,Moderate (20-35%),1093.82
LN-111864,CUST-21864,BR-013,Personal Loan,Debt Consolidation,2023-06-06,2023-06-10,7800.0,Micro (<$10k),12.44,60,175.25,Approved,1,Medium Risk,0.0567,0,5977.53,0.1703,Low (<20%),970.32
LN-105785,CUST-15785,BR-008,Auto Loan,New Vehicle,2024-02-01,2024-02-14,20400.0,Small ($10k-$25k),5.21,48,471.74,Approved,1,Low Risk,0.008,0,11431.7,0.2333,Moderate (20-35%),1062.84
LN-103922,CUST-13922,BR-014,Home Loan,Home Purchase,2024-03-16,2024-03-20,314000.0,Jumbo (>=$200k),5.01,360,1687.54,Approved,1,Low Risk,0.008,0,15488.72,0.2248,Moderate (20-35%),15731.4
LN-112038,CUST-22038,BR-011,Personal Loan,Debt Consolidation,2023-08-10,,9500.0,Micro (<$10k),14.65,24,459.04,Rejected,0,Very High Risk,0.4636,0,28875.0,0.5775,Critical (>=50%),1391.75
LN-106244,CUST-16244,BR-004,Auto Loan,New Vehicle,2021-07-22,2021-07-31,75000.0,Large ($75k-$200k),5.19,48,1733.66,Approved,1,Low Risk,0.008,0,14911.32,0.0626,Low (<20%),3892.5
LN-103144,CUST-13144,BR-011,Home Loan,Home Improvement,2022-05-25,2022-06-08,344700.0,Jumbo (>=$200k),4.01,240,2090.63,Approved,1,Low Risk,0.008,0,38255.04,0.3552,Manageable (36-49%),13822.47
LN-115294,CUST-25294,BR-005,Auto Loan,Used Vehicle,2022-01-22,2022-01-26,35300.0,Medium ($25k-$75k),5.54,60,674.92,Approved,1,Low Risk,0.008,0,17506.72,0.1624,Low (<20%),1955.62
LN-112458,CUST-22458,BR-004,Home Loan,Home Purchase,2023-03-30,2023-04-08,327600.0,Jumbo (>=$200k),4.9,360,1738.66,Approved,1,Low Risk,0.008,0,22015.12,0.2837,Moderate (20-35%),16052.4
LN-113094,CUST-23094,BR-001,Education Loan,Undergraduate Studies,2023-09-11,2023-09-23,62500.0,Medium ($25k-$75k),6.65,84,932.64,Approved,1,Low Risk,0.025,0,30048.0,0.313,Moderate (20-35%),4156.25
LN-103949,CUST-13949,BR-011,Education Loan,Graduate School,2023-12-17,,24800.0,Small ($10k-$25k),7.81,120,298.41,Pending,0,Medium Risk,0.065,0,22218.18,0.3027,Moderate (20-35%),1936.88
LN-101789,CUST-11789,BR-002,Home Loan,Home Purchase,2022-04-06,2022-04-09,160800.0,Large ($75k-$200k),6.4,240,1189.43,Approved,1,Low Risk,0.0156,0,12324.54,0.3414,Moderate (20-35%),10291.2
LN-117281,CUST-27281,BR-008,Home Loan,Home Purchase,2024-01-05,2024-01-13,188100.0,Large ($75k-$200k),4.51,360,954.19,Approved,1,Low Risk,0.008,0,8244.42,0.1878,Low (<20%),8483.31
LN-116170,CUST-26170,BR-006,Education Loan,Undergraduate Studies,2022-05-23,2022-05-26,49300.0,Medium ($25k-$75k),4.86,180,386.28,Approved,1,Low Risk,0.008,0,20832.0,0.186,Low (<20%),2395.98
LN-102618,CUST-12618,BR-011,Auto Loan,New Vehicle,2024-01-19,2024-02-01,58100.0,Medium ($25k-$75k),6.1,60,1125.94,Approved,1,Low Risk,0.008,0,12121.97,0.1099,Low (<20%),3544.1
LN-106468,CUST-16468,BR-007,Personal Loan,Debt Consolidation,2021-11-27,2021-12-09,22400.0,Small ($10k-$25k),13.57,48,607.29,Approved,1,Medium Risk,0.129,0,38379.24,0.3534,Manageable (36-49%),3039.68
LN-106330,CUST-16330,BR-013,Auto Loan,New Vehicle,2023-12-29,2024-01-12,75000.0,Large ($75k-$200k),5.8,60,1443.0,Approved,1,Low Risk,0.008,0,53332.98,0.2239,Moderate (20-35%),4350.0
LN-115150,CUST-25150,BR-015,Personal Loan,Debt Consolidation,2021-11-02,2021-11-07,12200.0,Small ($10k-$25k),12.15,48,322.17,Approved,1,Medium Risk,0.0574,0,12310.33,0.2467,Moderate (20-35%),1482.3
LN-107673,CUST-17673,BR-002,Auto Loan,Used Vehicle,2022-02-05,,22400.0,Small ($10k-$25k),9.82,48,566.19,Rejected,0,Medium Risk,0.1356,0,35839.32,0.5716,Critical (>=50%),2199.68
LN-106660,CUST-16660,BR-011,Auto Loan,Used Vehicle,2022-01-28,2022-02-05,21000.0,Small ($10k-$25k),4.77,48,481.43,Approved,1,Low Risk,0.008,0,9323.96,0.0907,Low (<20%),1001.7
LN-113875,CUST-23875,BR-013,Education Loan,Undergraduate Studies,2023-03-12,2023-03-17,18300.0,Small ($10k-$25k),4.74,60,343.17,Approved,1,Low Risk,0.008,0,2925.6,0.0795,Low (<20%),867.42
LN-103888,CUST-13888,BR-001,Home Loan,Home Purchase,2021-02-05,2021-02-15,313700.0,Jumbo (>=$200k),4.19,360,1532.22,Approved,1,Low Risk,0.008,0,6344.1,0.063,Low (<20%),13144.03
LN-112670,CUST-22670,BR-014,Auto Loan,New Vehicle,2021-04-17,2021-04-26,22600.0,Small ($10k-$25k),7.57,36,703.73,Approved,1,Low Risk,0.0094,0,17487.36,0.2024,Moderate (20-35%),1710.82
LN-110926,CUST-20926,BR-006,Personal Loan,Home Renovation,2022-05-27,2022-05-31,29100.0,Medium ($25k-$75k),10.12,60,620.01,Approved,1,Low Risk,0.008,0,25933.92,0.1552,Low (<20%),2944.92
LN-119365,CUST-29365,BR-002,Home Loan,Home Purchase,2023-09-03,,209200.0,Jumbo (>=$200k),4.29,180,1578.0,Rejected,0,Low Risk,0.008,0,6013.4,0.1124,Low (<20%),8974.68
LN-100439,CUST-10439,BR-001,Personal Loan,Medical Expenses,2021-11-18,,10500.0,Small ($10k-$25k),13.82,48,285.98,Rejected,0,High Risk,0.2922,0,31540.6,0.3466,Moderate (20-35%),1451.1
LN-110665,CUST-20665,BR-011,Auto Loan,New Vehicle,2021-02-10,,28600.0,Medium ($25k-$75k),8.46,48,704.4,Rejected,0,Low Risk,0.0497,0,24678.72,0.3762,Manageable (36-49%),2419.56
LN-112760,CUST-22760,BR-003,Personal Loan,Major Purchase,2021-07-17,2021-07-30,14400.0,Small ($10k-$25k),12.12,12,1280.23,Approved,1,Medium Risk,0.0616,0,35028.34,0.3862,Manageable (36-49%),1745.28
LN-106268,CUST-16268,BR-011,Auto Loan,New Vehicle,2023-11-20,2023-11-24,28500.0,Medium ($25k-$75k),6.75,72,482.48,Approved,1,Low Risk,0.01,0,18031.28,0.2104,Moderate (20-35%),1923.75
LN-113196,CUST-23196,BR-012,Home Loan,Home Purchase,2021-06-05,,307200.0,Jumbo (>=$200k),5.72,240,2151.54,Pending,0,Low Risk,0.0136,0,30405.96,0.4628,Manageable (36-49%),17571.84
LN-102113,CUST-12113,BR-010,Education Loan,Graduate School,2022-06-07,2022-06-18,24400.0,Small ($10k-$25k),6.51,120,277.18,Approved,1,Low Risk,0.0199,0,16027.34,0.3346,Moderate (20-35%),1588.44
LN-119032,CUST-29032,BR-011,Auto Loan,New Vehicle,2023-04-18,2023-05-02,64500.0,Medium ($25k-$75k),5.41,48,1497.4,Approved,1,Low Risk,0.008,0,10267.15,0.0799,Low (<20%),3489.45
LN-100475,CUST-10475,BR-006,Business Loan,Equipment Purchase,2021-09-06,2021-09-18,68800.0,Medium ($25k-$75k),8.03,36,2156.89,Approved,1,Low Risk,0.0141,0,9943.81,0.2017,Moderate (20-35%),5524.64
LN-103283,CUST-13283,BR-002,Business Loan,Working Capital,2022-04-30,2022-05-05,91200.0,Large ($75k-$200k),9.0,36,2900.14,Approved,1,Low Risk,0.0165,0,11627.72,0.1534,Low (<20%),8208.0
LN-111061,CUST-21061,BR-002,Auto Loan,Used Vehicle,2024-06-26,,26400.0,Medium ($25k-$75k),10.05,36,852.47,Pending,0,High Risk,0.168,0,51789.96,0.4923,Manageable (36-49%),2653.2
